distance,time,lat,lon,ele,speed,hr,cad,temperature,strava_index,camera.ele,camera.lon,camera.lat,camera.roll,camera.heading,camera.pitch
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
2.22,2023-08-06 00:13:21,23.520094,114.69175,147.8,1.26,0,0,20,2,5624.553477,114.692142,23.520119,0,-0.205225,-1.570796
